,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
28,-0.6124,Sat Jun 09 08:28:41 +0000 2018,0.762,0.238,0.0,@cnnbrk,"The US Embassy in Mozambique has warned of ""imminent attacks"" against government and commercial centers in a northe… https://t.co/eKaQW35NIf",29
29,0.3612,Sat Jun 09 08:05:32 +0000 2018,0.751,0.089,0.16,@cnnbrk,The Justice Department won't defend the Deferred Action for Childhood Arrivals program in a federal lawsuit that Te… https://t.co/ud2vU7y0yF,30
30,0.8225,Sat Jun 09 03:41:36 +0000 2018,0.65,0.0,0.35,@cnnbrk,The Golden State Warriors clinched their third NBA championship title in four years with a decisive 108-85 win over… https://t.co/p9DohMuKgY,31
31,-0.6705,Sat Jun 09 02:23:41 +0000 2018,0.809,0.191,0.0,@cnnbrk,A 19-year-old man in the US on the DACA program before being convicted of multiple misdemeanors was killed three we… https://t.co/sfAdF6xgiC,32
32,-0.6705,Fri Jun 08 22:07:59 +0000 2018,0.744,0.256,0.0,@cnnbrk,"Officials think a woman who disappeared Friday morning while walking beside a lake in Davie, Florida, died after be… https://t.co/rFAO0hL4tn",33
33,-0.7269,Fri Jun 08 21:04:08 +0000 2018,0.736,0.264,0.0,@cnnbrk,A former CIA case officer was found guilty of spying for China and could get life in prison https://t.co/CDUfENba1t https://t.co/utJcKmUmGY,34
34,-0.8225,Fri Jun 08 19:43:29 +0000 2018,0.714,0.286,0.0,@cnnbrk,"A US service member was killed and four others were wounded Friday in an attack in southern Somalia, US officials s… https://t.co/HkeLpTQS6x",35
35,-0.2732,Fri Jun 08 18:49:59 +0000 2018,0.884,0.116,0.0,@cnnbrk,A new indictment against ex-Trump campaign chair Paul Manafort includes two obstruction charges and names a new def… https://t.co/WRNxSXaziM,36
36,0.4215,Fri Jun 08 16:13:55 +0000 2018,0.823,0.0,0.177,@cnnbrk,The US Air Force temporarily grounds all B-1 bombers for safety reasons https://t.co/93Nwe6PbOa https://t.co/3EukD4idwo,37
37,-0.4215,Fri Jun 08 13:36:19 +0000 2018,0.853,0.147,0.0,@cnnbrk,RT @CNNMoney: Stocks dip at the open. Dow loses 30 points. Nasdaq falls 0.4%. Apple retreats 1% on concerns about iPhone demand. Verizon fa…,38
38,0.7506,Fri Jun 08 12:58:43 +0000 2018,0.726,0.0,0.274,@cnnbrk,President Trump says he is considering a posthumous pardon for Muhammad Ali. The boxing great was convicted in 1967… https://t.co/8lRETwZTEs,39
39,0.3182,Fri Jun 08 12:05:45 +0000 2018,0.874,0.0,0.126,@cnnbrk,"The Smithsonian once called Anthony Bourdain ""the original rock star"" of the culinary world. Follow updates:… https://t.co/h7924aIFNK",40
