,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
29,-0.6908,Sun Jun 10 01:39:52 +0000 2018,0.737,0.263,0.0,@CBSNews,Farrah Fawcett's son has been charged with punching and stabbing five men in a violent spree last month… https://t.co/6UFD8r0m7u,30
30,0.0,Sun Jun 10 01:33:05 +0000 2018,1.0,0.0,0.0,@CBSNews,Best-selling vehicle ever making a comeback to U.S. https://t.co/CzgbOhJry2 https://t.co/cDFqBbYVGw,31
31,-0.8225,Sun Jun 10 01:18:06 +0000 2018,0.568,0.432,0.0,@CBSNews,"Racist, misogynistic messages show dark side of ""Star Wars"" fandom https://t.co/RG8Nq79JyV https://t.co/DJzWd6iOKU",32
32,0.4019,Sun Jun 10 01:03:04 +0000 2018,0.876,0.0,0.124,@CBSNews,"With production of the VW beetle coming to an end, a family hobby will help keep the infamous car running… https://t.co/rSzoEc3mH8",33
33,0.1779,Sun Jun 10 01:00:19 +0000 2018,0.809,0.075,0.116,@CBSNews,Russian President Vladimir Putin was caught delicately crafting dumplings Friday during his visit to China https://t.co/9ZmXwfkcH2,34
34,0.0,Sun Jun 10 00:48:09 +0000 2018,1.0,0.0,0.0,@CBSNews,"Trump departs for summit in Singapore, skipping G-7 environmental sessions https://t.co/FC1u9Ny5sK https://t.co/Veh2W3MFbE",35
35,0.4019,Sun Jun 10 00:39:53 +0000 2018,0.881,0.0,0.119,@CBSNews,The Afghan Taliban announced a 3-day cease-fire for the Eid al-Fitr holiday at the end of the holy month of Ramadan… https://t.co/NLq7Qc8XhW,36
36,0.0,Sun Jun 10 00:33:05 +0000 2018,1.0,0.0,0.0,@CBSNews,CBS correspondent David Begnaud reflects on Hurricane Maria coverage https://t.co/UebvutaUAL https://t.co/4td0QEKE22,37
37,-0.5106,Sun Jun 10 00:19:48 +0000 2018,0.717,0.19,0.093,@CBSNews,"""It is a myth that asking about suicide will cause someone to commit suicide"": Experts offer insight on interventio… https://t.co/C39yHeTW7Q",38
38,0.0,Sun Jun 10 00:18:06 +0000 2018,1.0,0.0,0.0,@CBSNews,"Salmonella outbreak linked to pre-cut melon, CDC says https://t.co/GMtu4dU8Dr https://t.co/johqZotKxx",39
39,0.1531,Sun Jun 10 00:04:30 +0000 2018,0.789,0.089,0.121,@CBSNews,"President Trump retracted his endorsement of the G7 final statement, accusing Canadian Prime Minister Justin Trudea… https://t.co/FRTU8K4Rnn",40
40,0.3182,Sun Jun 10 00:03:05 +0000 2018,0.796,0.0,0.204,@CBSNews,Trump retracts his endorsement of G7 final statement https://t.co/o1t0LY1dio https://t.co/2ll3I6lfMC,41
41,0.0,Sat Jun 09 23:59:33 +0000 2018,1.0,0.0,0.0,@CBSNews,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/T10sEfg5Tp",42
42,-0.7351,Sat Jun 09 23:48:04 +0000 2018,0.617,0.383,0.0,@CBSNews,Anthony Bourdain’s death means loss of a voice for immigrant workers https://t.co/XR9rIRAIp3 https://t.co/7Cq0bRbWgq,43
43,-0.0772,Sat Jun 09 23:39:36 +0000 2018,0.944,0.056,0.0,@CBSNews,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/MM1ozFQocY,44
44,-0.5859,Sat Jun 09 23:33:05 +0000 2018,0.758,0.242,0.0,@CBSNews,Fire department issues warning about kids getting burned by garden hoses left in the sun https://t.co/26BU9veuDz https://t.co/P9MQ6pfCTF,45
45,-0.1779,Sat Jun 09 23:18:06 +0000 2018,0.476,0.295,0.229,@CBSNews,5 dangerous myths about Social Security https://t.co/GcxBxFGNsc https://t.co/Yw9A0upTPt,46
46,0.0,Sat Jun 09 23:03:06 +0000 2018,1.0,0.0,0.0,@CBSNews,"Andrew Lloyd Webber, iconic composer, reflects on his career and what makes a show endure https://t.co/yw9LYAJh82 https://t.co/7eOqGB13T0",47
47,-0.1154,Sat Jun 09 23:00:28 +0000 2018,0.935,0.065,0.0,@CBSNews,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/LbX3HrY2W6",48
48,0.8176,Sat Jun 09 22:54:26 +0000 2018,0.681,0.0,0.319,@CBSNews,"Justify wins the 150th Belmont Stakes, becoming the 13th horse in history to win the Triple Crown… https://t.co/hSAI2Li00E",49
49,0.296,Sat Jun 09 22:39:39 +0000 2018,0.879,0.0,0.121,@CBSNews,The family in charge of the Singapore hotel hosting the U.S.-North Korea summit shares Trump-like ambition… https://t.co/2CrEnrgTDN,50
50,0.3818,Sat Jun 09 22:19:39 +0000 2018,0.894,0.0,0.106,@CBSNews,"""A lot of people in Congress are focused on what's going to happen tomorrow, not what's going to happen in 2026"": T… https://t.co/iVUotZcDZB",51
