,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
29,-0.8225,Thu Jun 07 11:04:17 +0000 2018,0.64,0.312,0.048,@BBCBreaking,Swedish court sentences Uzbek Rakhmat Akilov to life over murder of five people in 2017 Stockholm lorry attack https://t.co/RnMYjyvpMF,30
30,0.2263,Thu Jun 07 08:52:10 +0000 2018,0.69,0.133,0.177,@BBCBreaking,Human rights campaigners lose UK Supreme Court appeal over legality of Northern Ireland's abortion law https://t.co/dWihoH5Emy,31
31,0.0,Thu Jun 07 06:59:04 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Department store chain House of Fraser is to close 31 shops, including Oxford Street, affecting 6,000 jobs https://t.co/ZuVEHtV4tB",32
32,-0.5574,Thu Jun 07 05:05:48 +0000 2018,0.795,0.205,0.0,@BBCBreaking,"Nightclub owner Peter Stringfellow has died at the age of 77, a spokesman has said https://t.co/LxZwGQCyHl",33
33,0.2263,Wed Jun 06 16:45:26 +0000 2018,0.658,0.132,0.21,@BBCBreaking,"After a plea from Kim Kardashian, Donald Trump agrees to free great-grandmother jailed for two decades, US media say https://t.co/qRIfx2iV27",34
34,0.3182,Tue Jun 05 21:50:03 +0000 2018,0.874,0.0,0.126,@BBCBreaking,Evacuations are ordered after a fresh blast at Guatemala's Fuego volcano sends material down the south side https://t.co/6X5GIVer41,35
35,-0.6486,Tue Jun 05 16:13:18 +0000 2018,0.83,0.17,0.0,@BBCBreaking,"Fashion designer Kate Spade, 55, found dead in her New York apartment, and is reported to have taken her own life https://t.co/9UT5AlM1ff",36
36,-0.4272,Tue Jun 05 14:12:22 +0000 2018,0.4,0.356,0.243,@BBCBreaking,Disgraced film producer Harvey Weinstein pleads not guilty to rape and sexual assault charges https://t.co/PcoOyOk2rk,37
37,0.25,Tue Jun 05 13:25:15 +0000 2018,0.766,0.097,0.137,@BBCBreaking,"RT @BBCSport: Roma have been fined 50,000 euros (£43,632) by Uefa following crowd disturbances at the Champions League semi-final first leg…",38
38,0.4019,Tue Jun 05 13:21:13 +0000 2018,0.876,0.0,0.124,@BBCBreaking,"Sky News must be sold before UK government approves 21st Century Fox's £11.7bn takeover of Sky, says Culture Secret… https://t.co/d36QIYmqrV",39
39,0.4588,Tue Jun 05 11:46:02 +0000 2018,0.842,0.0,0.158,@BBCBreaking,"""This decision has been taken based on national interest and detailed evidence""

Transport Secretary Chris Grayling… https://t.co/HtnZQNgR2I",40
40,0.6486,Mon Jun 04 14:36:00 +0000 2018,0.648,0.089,0.263,@BBCBreaking,Gay couple wedding cake: US Supreme Court rules in favour of Christian baker who refused Colorado couple's request https://t.co/Y0tyCrCnfn,41
41,-0.8519,Mon Jun 04 13:21:20 +0000 2018,0.518,0.482,0.0,@BBCBreaking,Teenager found guilty of plotting terror attack on British Museum in London https://t.co/hUlY0q7ACn,42
42,-0.4939,Mon Jun 04 11:37:22 +0000 2018,0.792,0.208,0.0,@BBCBreaking,Jordan's Prime Minister Hani Mulki resigns after several days of protests against tax rises and austerity measures https://t.co/M3iIpAvwvV,43
43,-0.8316,Sun Jun 03 15:32:29 +0000 2018,0.659,0.341,0.0,@BBCBreaking,"A minute's silence falls across the UK as the victims of the #LondonBridge terror attack are remembered, one year o… https://t.co/jJPzEmXsNq",44
44,0.0,Sun Jun 03 15:11:15 +0000 2018,1.0,0.0,0.0,@BBCBreaking,Armed police cordon off Berlin Cathedral after an officer reportedly shot a man at the building https://t.co/DdbPH9rZVJ,45
45,0.0,Fri Jun 01 21:10:01 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Visa says cardholders should now be able to use their cards, with systems operating at ""close to normal"" levels, bl… https://t.co/tUahgaGGr0",46
46,0.0,Fri Jun 01 18:45:49 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Donald Trump's summit with Kim Jong-un on 12 June is back on, the US president says, a week after it was scrapped https://t.co/WfevC3zR8i",47
47,-0.5106,Fri Jun 01 15:50:48 +0000 2018,0.82,0.18,0.0,@BBCBreaking,Visa says some card payments are currently failing across the UK and elsewhere in Europe https://t.co/3IJ9nksdEc,48
48,0.4019,Fri Jun 01 12:17:17 +0000 2018,0.876,0.0,0.124,@BBCBreaking,"Five big cats which escaped from a zoo in western Germany have been recaptured, reportedly with the help of a drone https://t.co/g32tKvh2qT",49
49,-0.1027,Fri Jun 01 11:04:41 +0000 2018,0.817,0.101,0.082,@BBCBreaking,"Two lions, two tigers and a jaguar escape from a German zoo, with public warned to stay indoors, police say https://t.co/qUowA6ZZ4a",50
50,-0.8176,Fri Jun 01 09:32:42 +0000 2018,0.622,0.378,0.0,@BBCBreaking,"Spain's prime minister is forced out of his job, losing a no-confidence vote triggered by a corruption scandal https://t.co/T6sskEuPSj",51
51,0.0,Thu May 31 18:23:24 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Talks on summit between Trump and Kim Jong-un ""moving in the right direction"", secretary of state Mike Pompeo says https://t.co/PnxigeVi40",52
52,-0.4767,Thu May 31 13:45:28 +0000 2018,0.866,0.134,0.0,@BBCBreaking,"The US to put tariffs on steel and aluminium made by key allies, a move France says is ""unjustifiable and dangerous"" https://t.co/RuuMpmGgNJ",53
53,0.2263,Thu May 31 11:13:24 +0000 2018,0.921,0.0,0.079,@BBCBreaking,"RT @BBCSport: Zinedine Zidane says he is stepping down as Real Madrid boss, just five days after leading them to a third straight Champions…",54
54,-0.743,Thu May 31 09:00:21 +0000 2018,0.69,0.31,0.0,@BBCBreaking,"Lithuania and Romania assisted CIA torture of al-Qaeda suspects, European Court of Human Rights rules https://t.co/VdnWsfigYS",55
55,-0.6486,Wed May 30 14:58:51 +0000 2018,0.788,0.212,0.0,@BBCBreaking,"The moment Russian journalist Arkady Babchenko, who had been reported dead yesterday, appeared at a press conferenc… https://t.co/iHb6Rc1NCY",56
56,-0.1531,Wed May 30 14:49:30 +0000 2018,0.909,0.091,0.0,@BBCBreaking,"""Assassination"" of journalist Arkady Babchenko was ""staged to expose Russian agents"", says head of Ukraine's securi… https://t.co/SPcn5LgkRh",57
57,0.5719,Wed May 30 14:30:55 +0000 2018,0.761,0.0,0.239,@BBCBreaking,"Russian journalist Arkady Babchenko, reportedly assassinated in Kiev on Tuesday, appears on TV alive and well https://t.co/Jq3liX4P2o",58
58,-0.7184,Tue May 29 17:53:41 +0000 2018,0.714,0.286,0.0,@BBCBreaking,"""Abhorrent, repugnant"" - and cancelled. ABC drops Roseanne's show after star's racist tweet about an Obama aide https://t.co/2eutMyKysP",59
59,-0.6705,Tue May 29 14:37:23 +0000 2018,0.769,0.231,0.0,@BBCBreaking,"Hurricane Maria killed 4,600 people in Puerto Rico, 70 times the official toll - Harvard study https://t.co/3HplA9VkAB",60
60,-0.6705,Tue May 29 13:00:18 +0000 2018,0.757,0.243,0.0,@BBCBreaking,"Two police officers killed by gunman in Liège were both women, city's mayor confirms
https://t.co/WyTQaq20ss",61
61,-0.8271,Tue May 29 11:30:35 +0000 2018,0.588,0.412,0.0,@BBCBreaking,"Belgian authorities confirm they are treating the attack in Liège as terrorism 
https://t.co/d4uJcconBF",62
62,-0.926,Tue May 29 09:20:35 +0000 2018,0.576,0.424,0.0,@BBCBreaking,"Two police officers shot dead in eastern Belgian city of Liège, senate chief says, with reports attacker is killed https://t.co/FTmHJQ5V71",63
63,-0.9134,Mon May 28 12:05:39 +0000 2018,0.523,0.425,0.052,@BBCBreaking,Murder investigation launched after man was killed and several more injured when car hit people near Stockport club https://t.co/raUxSrvGY7,64
64,0.0,Mon May 28 09:52:58 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Man in his 80s dies after vehicle submerged in flood water in Walsall, police say https://t.co/8hmZZR6Ifh",65
65,-0.886,Mon May 28 09:50:22 +0000 2018,0.536,0.464,0.0,@BBCBreaking,"Man arrested on suspicion of murder of woman, 31, and girl, 11, in Gloucester https://t.co/5W9CiZIqiz",66
66,0.5106,Mon May 28 08:49:02 +0000 2018,0.845,0.0,0.155,@BBCBreaking,"After his dramatic rescue of a young boy from a Paris balcony, Malian migrant Mamoudou Gassama is made a French cit… https://t.co/ki7aWgGtPQ",67
67,0.0,Sun May 27 18:12:19 +0000 2018,1.0,0.0,0.0,@BBCBreaking,Italy PM-designate Guiseppe Conte gives up bid to form government amid reports president vetoed economy pick https://t.co/AbEoT2SdF0,68
68,0.5423,Sat May 26 20:39:22 +0000 2018,0.595,0.138,0.268,@BBCBreaking,"RT @BBCSport: 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆

It's heartbreak for Liverpool as Real Madrid win their 13th Champions League title.

FT 3-1

https://t.co/Hr5J…",69
69,0.128,Sat May 26 17:33:38 +0000 2018,0.71,0.13,0.16,@BBCBreaking,"The final result in Ireland's abortion reform referendum

Yes 1,429,981
No 723,632

https://t.co/urPAqRybLz https://t.co/8665LHVeOC",70
70,-0.5423,Sat May 26 17:18:01 +0000 2018,0.773,0.174,0.053,@BBCBreaking,Official result: Republic of Ireland votes resoundingly to overturn abortion ban with voters backing reform of cons… https://t.co/1ghSuV99Ff,71
71,0.0,Sat May 26 12:04:49 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Irish PM hails ""quiet revolution"" as early results point to ""resounding"" referendum vote for overturning abortion b… https://t.co/fW4uTOgwOc",72
72,0.0,Sat May 26 11:08:51 +0000 2018,1.0,0.0,0.0,@BBCBreaking,Leaders of both Koreas meet in border zone as efforts continue to reschedule Donald Trump's summit with Kim Jong-un https://t.co/ZNdh7ZZZAk,73
73,0.0516,Sat May 26 09:34:09 +0000 2018,0.644,0.149,0.208,@BBCBreaking,'No' campaign spokesman accepts defeat in Ireland referendum which will allow liberalisation of abortion law… https://t.co/b8Fn4jPkTj,74
74,0.0,Fri May 25 22:28:07 +0000 2018,1.0,0.0,0.0,@BBCBreaking,Exit polls suggest the Republic of Ireland has voted by a landslide to liberalise its strict abortion laws https://t.co/FeHK5CKrvI,75
75,-0.9325,Fri May 25 16:16:31 +0000 2018,0.5,0.5,0.0,@BBCBreaking,"A 95-year-old man arrested on suspicion of murder after female carer died of head injuries, London police say https://t.co/Wttf0ezBRU",76
76,-0.9337,Fri May 25 12:31:35 +0000 2018,0.532,0.468,0.0,@BBCBreaking,"Harvey Weinstein is charged with rape and a criminal sex act on two women, after months of sexual abuse allegations https://t.co/xKlFuMthOA",77
77,-0.2732,Fri May 25 11:26:42 +0000 2018,0.89,0.11,0.0,@BBCBreaking,Film producer Harvey Weinstein arrives at NY police station where he's expected to answer sexual misconduct charges https://t.co/SVJvYQ0BCT,78
78,-0.8885,Fri May 25 09:47:42 +0000 2018,0.632,0.368,0.0,@BBCBreaking,"Man who attacked D-Day veteran, 96, with hammer during raid on his home in Somerset found guilty of attempted murder https://t.co/LXYx1mLb9y",79
79,-0.2023,Fri May 25 08:37:26 +0000 2018,0.893,0.107,0.0,@BBCBreaking,Australia and Netherlands formally accuse Russia of responsibility for downing MH17 passenger jet in 2014 https://t.co/zyMC4Ccbyz,80
80,-0.2732,Thu May 24 19:59:31 +0000 2018,0.884,0.116,0.0,@BBCBreaking,"Hollywood mogul Harvey Weinstein expected to surrender to police on sexual misconduct charges, US media report https://t.co/NzeaFHi9FZ",81
81,0.7808,Thu May 24 16:14:09 +0000 2018,0.708,0.0,0.292,@BBCBreaking,"""Hopefully positive things will be taking place... but if they don't, we are more ready than we have ever been befo… https://t.co/jgzyXyqNwm",82
82,-0.9136,Thu May 24 15:42:50 +0000 2018,0.438,0.478,0.084,@BBCBreaking,Two men jailed for life for murder of four children in petrol bomb attack in Greater Manchester https://t.co/fEgISmD1y5,83
83,0.8656,Thu May 24 14:02:08 +0000 2018,0.65,0.0,0.35,@BBCBreaking,"""You talk about your nuclear capabilities, but ours are so massive and powerful that I pray to God they will never… https://t.co/NmbqVRuyAV",84
84,-0.802,Thu May 24 13:56:20 +0000 2018,0.702,0.298,0.0,@BBCBreaking,"In letter to Kim Jong-un, President Trump says ""tremendous anger and open hostility"" displayed in North Korea state… https://t.co/4P6aLp1LXE",85
85,0.0,Thu May 24 13:48:51 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"US-North Korea summit will not take place, Donald Trump says https://t.co/Kzej5c101k",86
86,-0.8176,Thu May 24 12:03:56 +0000 2018,0.667,0.333,0.0,@BBCBreaking,Army sergeant Emile Cilliers guilty of trying to murder his wife by tampering with her parachute https://t.co/OdTAyBSJZo,87
87,-0.4019,Thu May 24 10:54:54 +0000 2018,0.881,0.119,0.0,@BBCBreaking,"North Korea appears to have blown up tunnels at its only nuclear test site, a key move to reducing regional tensions https://t.co/s92Pw9KS4O",88
88,-0.7964,Thu May 24 10:00:39 +0000 2018,0.705,0.295,0.0,@BBCBreaking,A couple have been found guilty of murdering their French au pair and burning her body in their garden https://t.co/8r6yRdCG4B,89
89,-0.8402,Thu May 24 10:00:16 +0000 2018,0.652,0.348,0.0,@BBCBreaking,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/yLua7Ztfui",90
90,-0.7964,Thu May 24 09:55:10 +0000 2018,0.717,0.283,0.0,@BBCBreaking,"A couple have been found guilty of murdering their French au pair and burning her body in their London garden

https://t.co/ZRwyexYiwh",91
91,-0.8402,Thu May 24 09:29:26 +0000 2018,0.652,0.348,0.0,@BBCBreaking,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/D8VQAg3Ca1",92
92,-0.886,Wed May 23 22:15:02 +0000 2018,0.49,0.51,0.0,@BBCBreaking,"Man arrested in Hertfordshire on suspicion of preparing terrorist acts, police say https://t.co/SCbyRXldte",93
93,-0.2263,Wed May 23 16:36:19 +0000 2018,0.545,0.245,0.21,@BBCBreaking,"Yulia Skripal, poisoned daughter of Russian ex-spy Sergei, says she is lucky to be alive after attack https://t.co/Pe34d0cCOr",94
94,-0.3182,Wed May 23 16:02:07 +0000 2018,0.887,0.113,0.0,@BBCBreaking,"After the alleged payment to Cohen for White House talks, Ukraine’s Anti Corruption Bureau drops Paul Manafort inve… https://t.co/uZrdnv8IBK",95
95,0.4767,Wed May 23 16:01:05 +0000 2018,0.838,0.0,0.162,@BBCBreaking,"Cohen received at least $400,000 to fix talks between Ukraine’s Poroshenko and President Trump – intelligence sourc… https://t.co/WAWUjJQmHP",96
96,0.128,Wed May 23 16:00:22 +0000 2018,0.919,0.0,0.081,@BBCBreaking,"BBC Exclusive: Trump lawyer Michael Cohen “paid by Ukraine” to arrange White House talks in June 2017

https://t.co/NsfSjRzEzJ",97
97,0.0772,Wed May 23 09:39:42 +0000 2018,0.933,0.0,0.067,@BBCBreaking,"Berlinah Wallace given life sentence with minimum term of 12 years for throwing sulphuric acid over former partner,… https://t.co/hu686gzzht",98
98,0.2263,Wed May 23 08:33:28 +0000 2018,0.888,0.0,0.112,@BBCBreaking,"RT @BBCSport: 🔴 Confirmed 🔴

Arsenal have announced Unai Emery as Arsene Wenger's successor.

More here👉 https://t.co/x1kOq2Nos3 https://t.…",99
99,0.0,Wed May 23 06:43:25 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"""There has been a change in customer shopping habits"" - Marks and Spencer Chief Executive Steve Rowe on 62% fall in… https://t.co/3bTbpSQHid",100
